,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Ba,0,1,-2.006596649614179,598.9811159297878,8601.42190331451,300.0,181.79518883960603,13.151083062399518,30.968433416999634,260.9268773603631
Ba,0,2,,,36046.53057125563,300.0,222.95132027583003,16.400991724137512,38.6213833318335,876.8058697300067
Ba,10,1,-2.490811707566538,726.3459938233291,5976.257804652207,300.0,182.3505987766104,11.128557790454803,26.20575045611878,214.23998319223946
Ba,10,2,,,34373.719396171175,300.0,223.01915994333814,16.541340834601325,38.95188022413589,829.0217106691794
Ba,110,1,-2.4746192445915054,724.6412957788298,12967.494887534414,300.0,178.71967751103512,13.453711856098955,31.681069752978946,384.52453055370165
Ba,110,2,,,51674.08518472334,300.0,220.3046397778401,16.74959829448,39.44228905580739,1230.7744956954182
Ba,130,1,-3.425640209609465,984.42666221513,13011.210195821903,300.0,179.96579647962903,13.381062163222806,31.50999280320033,387.9155524417999
Ba,130,2,,,52517.4634622828,300.0,220.22456356300987,16.55566698568807,38.985615731237985,1265.5145625918317
Ba,30,1,-1.7139787764320966,515.0795457172827,12290.185912102495,300.0,181.14768096941503,15.388102232592077,36.23621089935248,318.6276618839346
Ba,30,2,,,37372.80307607393,300.0,223.11030150855174,16.477011984145573,38.800397360505684,904.8723173207763
Ba,50,1,-1.9247256660527459,567.5416966241456,12729.916259290152,300.0,181.05200422112347,15.718986770692903,37.01538442736306,323.08075230123416
Ba,50,2,,,40219.61583772342,300.0,222.68583544858137,16.529752876884594,38.92459266954538,970.6924336331584
Ba,70,1,-1.9486115387574925,579.478721862246,12723.513043271332,300.0,179.4396061931962,13.930836382906659,32.80461213119626,364.36775352490156
Ba,70,2,,,42682.05712018655,300.0,221.56813235528682,16.493002554346322,38.83805227502581,1032.4183228705908
Ba,90,1,-2.7842986941030614,808.7629457570241,9204.054646248167,300.0,179.7075488014337,12.692472749094797,29.88848867902341,289.29640445056714
Ba,90,2,,,43361.961087755146,300.0,220.62785295686743,16.471457051769928,38.78731649464886,1050.2362015994631
Co,-10,1,0.01083633940902175,13.953392673288366,4407.573123401225,600.0,731.1453629379787,26.91101357678023,63.370592990873625,65.34006436625077
Co,-10,2,,,3910.6358023185894,600.0,837.0622055809159,33.14560384143138,78.05193083787945,47.06862632229995
Co,-110,1,-0.005120468591477907,30.377763090889548,9162.697743383163,600.0,730.986680334269,27.52896871239494,64.82576610332185,132.78331455635853
Co,-110,2,,,7984.930012901565,600.0,833.689785711419,31.160241092851813,73.3767589302693,102.23047810168396
Co,-130,1,-0.01241513126485904,39.10160028649716,9432.984694733716,600.0,731.596280635052,27.44067136468605,64.61784174299001,137.14010710484385
Co,-130,2,,,8547.85171634253,600.0,832.66288040781,31.663094894068593,74.5608891184506,107.69950427099425
Co,-30,1,0.015763424122843053,11.371451882219704,4815.913265059388,600.0,730.2891960296337,25.6603077020532,60.42540578294892,74.87328432969541
Co,-30,2,,,4126.542091911145,600.0,834.7962774291392,31.39330086952669,73.92557275357885,52.43960168558929
Co,-50,1,0.012842670232474809,14.401104686288436,5516.449378133652,600.0,730.3679323519195,26.762349211828045,63.02051517099692,82.23287818744832
Co,-50,2,,,4726.693940546946,600.0,834.2292104480015,32.31893719531586,76.1052796862737,58.34592086497084
Co,-70,1,0.002730303024292962,23.76306461794618,6223.134072245572,600.0,729.8198467351008,26.40261197811762,62.17339873831094,94.03128077054055
Co,-70,2,,,5606.427892604857,600.0,833.3381708738392,31.868434113626478,75.0444260194499,70.18359390628422
Co,-90,1,0.0007373063155916982,25.535802536416337,7632.379371260807,600.0,730.1833561278004,26.528847133755644,62.470659807510465,114.77615161681857
Co,-90,2,,,6734.000315877813,600.0,835.065792850879,31.06275907133281,73.14720631635593,86.48547825541733
Co,0,1,0.027460709474739445,2.481349695729384,4327.274485006006,600.0,745.0404807711487,26.57210750648802,62.572530198428126,64.96785531061467
Co,0,2,,,3234.206186496087,600.0,851.0567965813772,28.43105158618024,66.95000889616895,45.382129141580826
Co,10,1,0.00953523738770244,14.384784462211048,4175.913555130335,600.0,729.5867998100109,26.856477917159342,63.24217132888516,62.031535312396734
Co,10,2,,,3817.409860393887,600.0,835.4763978438002,32.1989919268519,75.8228301691894,47.29732760602959
