,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Ba,-110,2,,,88501.844992859,1000.0,122.71522417591311,6.522662530517697,15.359696180113684,5412.993456353531
Ba,-140,1,-32.42688944226574,6066.728581443832,38553.852723298965,1000.0,103.61166836440098,6.3688190629951285,14.99742250592219,2415.0101497876262
Ba,-140,2,,,99179.31163771963,1000.0,122.76265570033206,6.70864674713732,15.797655533093904,5897.88435559711
Ba,-20,1,-15.106677798259557,2878.348033897267,18448.758062893037,1000.0,103.74346958582157,5.7939652930989896,13.643745351495363,1270.2854783269668
Ba,-20,2,,,53208.38349929669,1000.0,123.63339160351848,5.8665042072784015,13.814561437383325,3618.3516013089456
Ba,-50,1,-19.354562317057272,3473.413379469764,19265.58055756502,1000.0,103.27602005565426,5.541891953095714,13.05015800898885,1386.8648258609471
Ba,-50,2,,,59254.25737920088,1000.0,122.7333599018288,6.147040257109679,14.475173338247014,3845.595397933082
Ba,-80,1,-20.603566299484367,3779.08994486951,25239.413022727058,1000.0,103.41540650605972,6.178280324971166,14.548738074848602,1629.7527713722957
Ba,-80,2,,,68957.1901294595,1000.0,122.82340788714319,6.326575248800865,14.897945927381254,4348.314680521359
Ba,0,1,398.4488009249725,-101044.01430514595,19461.259395996225,500.0,115.03831891650587,4.74267816734089,11.168153402017676,1637.0327714411192
Ba,0,2,,,24937525.95464087,500.0,8.44414799827878,117.97313093473694,277.80548818773724,84329.65948964884
Ba,10,1,-14.747488185384851,2816.863580838276,18228.125739132334,1000.0,103.85072696077664,5.698142247821223,13.418099328014373,1276.2002229479633
Ba,10,2,,,52020.99315595501,1000.0,123.5969242010569,5.897646563097509,13.887896079713277,3518.924783960104
Ba,100,1,-21.145728477038613,4072.8942013685482,26812.48308395806,1000.0,103.72741658023425,5.894738450212596,13.881047997329627,1814.607002595602
Ba,100,2,,,77636.87865408302,1000.0,123.11728526531166,6.4300424562621465,15.14159257685523,4816.8632082540735
Ba,130,1,-29.517759298442282,5415.669335014246,28856.31956519703,1000.0,103.7899494870732,5.680764507675116,13.377177877963518,2026.488949035146
Ba,130,2,,,85934.35791094652,1000.0,123.00181595472033,6.627151722162598,15.60574941838293,5173.089712035277
Ba,40,1,-16.34878560118578,3016.9600138991027,20585.98369333988,1000.0,103.64968905757156,6.024670042963321,14.187013510570889,1363.1650569769645
Ba,40,2,,,55981.112649113056,1000.0,123.37278465525974,6.06983178425229,14.29336128219298,3679.382663410559
Ba,70,1,-20.097590423176843,3687.729745326701,20915.246790963825,1000.0,103.81005081100331,5.501398753937864,12.954803813747962,1516.7009397168613
Ba,70,2,,,64035.81410583123,1000.0,123.16493070356998,6.370659490793533,15.001756382110427,4010.039305769058
Co,-110,1,-0.22192696814717708,155.14584309075076,2233.9982655709323,1000.0,377.261503116709,10.762709415482773,25.344243385767143,82.80781091987711
Co,-110,2,,,1279.5789308800306,1000.0,424.8020531403736,11.329126058457826,26.67805262497766,45.05891796796806
Co,-140,1,-0.4000362097182063,238.0209286839974,2419.9241766890846,1000.0,379.6691634618777,11.260703231190064,26.51692918287099,85.73266669526842
Co,-140,2,,,1853.6465331909933,1000.0,427.11643907126853,12.106277785064842,28.508105053826394,61.08384628762923
Co,-20,1,-0.1915333627197957,126.06278609210158,1159.5741769282643,1000.0,377.32144003380785,11.13351961383828,26.217434657058657,41.550489441755815
Co,-20,2,,,686.5703591109269,1000.0,427.1116446783389,9.328315188264536,21.966503171629096,29.362425330580685
Co,-50,1,-0.16287220043992004,114.04659548749137,1583.80613796963,1000.0,377.62709386892624,11.882638370961919,27.981474488708546,53.17398743529822
Co,-50,2,,,732.8009965146034,1000.0,426.6460214225964,8.646742718461383,20.361522688287234,33.809877836153355
Co,-80,1,-0.27878012471491176,166.29367671322967,1647.3699599555032,1000.0,378.7304366270827,11.598277849504969,27.311856645571293,56.664064208774484
Co,-80,2,,,1160.8869703842586,1000.0,428.95238597692634,12.217817890527668,28.770761924972366,37.90586192679995
Co,0,1,-0.7090467317924882,376.1617164178807,1889.6646154600553,2000.0,354.1173291788886,8.237223763644595,19.397179263105567,91.51956648883099
Co,0,2,,,1373.2412979019905,2000.0,402.15272875097435,9.112002123991275,21.457124841617134,60.123344396240824
Co,10,1,-0.21759455452073925,135.67052739643768,1099.9416692137409,1000.0,377.6910671274594,9.358314670318476,22.037146551959356,46.89020137073843
Co,10,2,,,727.8695963913912,1000.0,427.75880574135573,10.327754917884638,24.320003835733104,28.116272432220864
